lat,lon,metric population,dist_to_metro,score
50.41053499,30.69586199,3.292969111,0.121459316,7.813255013
50.41139179,30.69720701,3.209231816,0.226549799,6.094830573
50.41183151,30.69565063,3.401313391,0.265932235,6.010107185
50.41180309,30.69850295,3.265703225,0.307831744,5.372709239
50.44544914,30.54394709,3.338094379,0.149734089,2.985281332
50.43481049,30.50822989,2.557808657,0.642435547,2.714040938
50.39816461,30.69267476,3.029672255,0.821957826,2.700344154
50.39846894,30.69347252,3.072004323,0.841905652,2.690243558
50.43571406,30.50881068,2.420259918,0.658251025,2.525705535
50.44610852,30.54479295,2.940651817,0.185503233,2.492409312
